sample_id,aep_mw,mean_wind_speed,std_wind_speed,min_wind_speed,max_wind_speed,mean_pairwise_distance,min_pairwise_distance,spacing_violation_sum,wake_exposure,centroid_x,centroid_y,spread_x,spread_y,layout_x,layout_y
27,285.6451645455106,7.2068576570723115,0.14115921910745838,6.928597376367043,7.511850808217576,10.560677236583622,0.17624031923890765,0.44751936152218474,0.5209073527864077,10.179494387867202,10.294251191717807,5.343838199561227,6.034728481634677,"4.206682,10.375267,16.149224,1.846593,7.921456,14.901984,7.451417,3.826515,3.958637,8.215368,9.591635,17.178398,12.822288,13.777575,19.582465,8.250974,8.082551,18.399204,4.958172,14.559534,15.050731,2.020114,9.369711,4.059159,3.757845,9.282350,5.822285,15.873839,18.086881,16.005977","5.358053,5.518826,5.133810,2.759156,18.804960,8.056628,4.537839,16.877954,8.000035,0.776718,3.292921,12.762727,15.612841,4.264938,18.281128,16.963783,16.911874,4.596797,1.082634,17.289683,6.147077,12.359301,15.157743,2.625338,15.571833,18.700067,14.530959,8.833859,17.473294,10.544759"
28,290.7343808121312,7.129130196640845,0.22421937460241465,6.513459227869792,7.405111480035282,10.387114323135537,0.612969813023674,0.0,0.10752217959695552,11.66245974493833,10.844311228463006,5.360817824681537,5.915059968734565,"14.856255,16.358838,14.947161,5.791041,2.418023,4.808636,10.057039,10.104694,11.639664,7.918820,15.691925,18.196970,4.975025,14.692621,13.530962,10.458116,3.820440,15.857408,19.138826,14.401233,18.290342,19.606236,7.064685,12.742355,9.482826,19.654714,1.941147,8.261518,17.450695,5.715578","15.709810,7.674418,19.522774,17.609232,6.058196,15.360631,6.763234,12.110239,13.144258,16.539173,0.565105,4.447933,14.204449,11.260301,9.912805,1.175366,6.989794,17.243589,0.692914,7.945295,18.831742,1.089474,14.954162,5.191034,17.273519,14.881989,17.652391,4.363948,10.620848,15.540716"
29,291.62091805263816,7.130782458978923,0.1846441419206788,6.612109363489191,7.449298192613117,10.434851997206186,0.11647455396565917,0.5670508920686816,0.07465616890142203,9.626531985765974,10.422849863825387,6.423314427738655,4.789198376991355,"4.954683,4.658007,0.619294,19.096943,14.166735,12.689517,14.840855,10.627200,9.526495,8.998720,12.786314,4.078454,17.699085,16.185167,7.015342,11.559608,2.877982,19.371350,17.993391,18.370447,6.670115,3.435633,4.281560,1.865628,2.462995,1.494682,19.718090,1.549304,2.709635,16.492731","11.591966,15.444437,12.597294,17.582353,12.747196,10.438962,14.220954,8.956272,6.945906,9.358225,3.447128,15.883983,5.252363,3.126066,4.967628,16.786672,6.631194,13.691229,17.071167,1.622454,15.258084,6.184083,4.377788,13.747805,18.130365,5.933181,11.365663,5.830309,11.077026,12.417743"
30,290.93403372846115,7.138775765492264,0.18304724621324397,6.831705482083782,7.506150859008117,9.552961948996163,0.358597339316592,0.08280532136681606,0.13812405522136695,10.383248414844934,9.474888056498774,4.623376731828304,5.870880982674632,"12.189054,12.451160,2.759983,13.839843,13.467047,13.622548,1.549560,8.945283,8.195257,1.800356,4.491780,8.828699,14.819261,4.783312,16.542238,10.908638,15.166766,9.455511,9.984013,12.375233,18.490937,9.837562,10.568566,12.023620,14.712300,1.505511,10.311239,9.634777,18.366230,9.871171","9.371479,19.170048,9.019437,3.668747,4.383616,1.968521,0.091272,8.649802,15.341773,14.631974,0.717838,11.388461,3.140977,18.750953,3.400522,12.512522,6.552569,12.808577,8.259211,15.151318,4.656674,18.050910,10.004159,15.080888,16.938647,19.896760,4.523082,5.771945,5.048592,5.295367"
31,282.31734533985826,7.124651121436737,0.18813259946310862,6.589817313009956,7.458330289556191,10.48521077608593,0.46749907891884895,0.0,0.3195380064444089,11.840558560509532,8.61719779113307,5.292550509284956,6.0191693873646495,"11.635704,19.791487,19.727117,10.531181,12.758300,17.141816,18.589400,4.124595,10.566268,16.603487,6.095529,8.805811,19.634723,19.623326,18.057159,15.921215,5.419549,6.445665,10.938092,11.205823,10.109176,12.711538,8.181129,14.943615,6.697631,6.640632,2.604163,3.824050,16.954334,8.934242","4.600897,15.145327,11.070986,0.499735,6.356611,3.591708,13.092518,5.536616,1.368544,1.169910,11.621470,0.510993,16.920036,3.163079,12.114276,8.902610,8.866174,1.504455,16.006605,17.798161,0.298571,3.623507,18.013459,10.981953,3.056785,4.103363,13.174127,14.460366,11.972628,18.990464"
32,275.057938500013,7.115103113204966,0.17159738623579285,6.750456604846522,7.511659007786184,10.669956060226369,0.08721480600114263,0.6255703879977148,0.7025558708973396,9.033403372039977,11.278504362166059,5.647224320974886,5.966852953605202,"9.882222,6.037395,9.548301,7.215779,4.532411,0.991911,7.067896,14.194361,0.445806,8.793302,12.857147,12.190418,15.488705,16.160711,14.200243,2.119506,9.504445,12.051574,4.952030,0.924228,4.516032,9.105105,8.292378,3.585073,16.436404,18.445624,4.074751,18.522727,0.434361,18.431255","18.966267,0.319109,15.218303,19.328799,18.053100,19.338890,10.998418,1.630618,16.939818,12.258353,12.276377,8.358312,11.425345,3.127023,14.757037,1.568343,14.558850,16.923732,9.453779,10.195034,6.274331,19.314058,14.625190,7.400733,3.548179,4.436459,9.284218,18.780557,14.645463,4.350436"
33,285.6284357910732,7.113173426819391,0.23309760861026121,6.5295488733248455,7.448256904820644,10.110918129993664,0.6068476277443468,0.0,0.14592708256197076,10.475400878124047,7.917930475902502,5.801113267578637,5.084339498601831,"17.133693,7.583498,16.978168,4.875320,12.354227,18.465142,5.196617,13.827664,19.668282,3.067870,1.833901,13.456033,6.820361,1.493490,9.510063,15.034810,5.736828,6.727330,16.858676,10.398227,16.799802,8.936368,18.987027,12.991765,2.379433,17.640245,9.787021,2.890117,3.109372,13.720673","1.019871,5.766020,2.853386,8.830976,8.300779,10.434028,5.627985,0.715745,12.269420,7.494565,13.002486,2.235953,0.353343,5.006158,9.137899,7.898388,16.156403,7.576299,10.603953,11.855349,0.513135,10.300246,6.921452,8.438198,2.069702,15.611160,18.777300,0.521813,12.011236,15.234666"
34,283.6396346625753,7.195779847524401,0.15012168291595895,6.878504501881727,7.481581242771615,10.623276345373325,0.13734133278915198,0.5253173344216961,0.5529415230539151,10.176690624661296,8.860042006052254,6.281241173071548,5.19579134221109,"5.730583,15.705103,12.625924,18.514587,19.543135,0.920147,8.907565,10.932238,2.991386,6.751911,19.674925,0.402012,9.057757,16.798268,6.506201,9.599202,19.484428,9.501556,2.677479,1.106154,18.837065,5.353659,10.080628,1.879523,8.485318,18.533294,10.047874,19.347321,5.215299,10.090178","17.133091,8.973327,5.625029,17.052631,7.815407,10.609550,19.454297,3.779829,6.059789,0.696421,7.854060,4.051639,13.571893,3.677418,13.468285,5.307352,7.127522,7.001395,14.300355,9.335544,7.248170,16.996035,11.427500,4.322403,17.937811,6.878182,0.853351,9.892868,2.538931,4.811174"
35,275.9607306386778,7.242392569624214,0.1740007566357817,6.84835619134278,7.592874947927046,10.893272250282443,0.18384922381064975,0.7862392642267031,0.8131137573394959,7.957755755725682,11.490663452955403,5.798347487969956,6.139992188203178,"14.902680,2.674116,16.089773,18.668241,12.113597,14.173526,14.237558,19.777310,6.856119,3.311074,10.380278,10.659676,3.609784,12.244091,0.360235,18.484941,5.329154,0.864875,2.227669,4.846539,5.514298,0.730950,5.622399,3.907964,7.591839,7.721728,6.805914,6.586010,1.860269,0.580066","4.089948,15.091925,19.737666,18.501959,10.083712,10.631385,6.321298,15.434958,15.252773,16.830364,17.846811,8.697489,15.294811,16.078951,6.199839,18.516166,1.951735,19.806301,15.358600,1.930495,13.099596,0.758120,15.360509,15.936583,12.031819,17.080110,2.022004,5.554329,8.297282,0.922366"
36,285.83967966069525,7.182478033214773,0.20949011805412787,6.594338477384938,7.513710608548758,10.679313799174775,0.23969253700361415,0.32061492599277175,0.3707494219176746,10.374722344531511,9.97913139096918,5.195307768804864,6.3153802119035385,"8.972607,5.341835,7.871863,8.514036,17.527529,5.443565,17.811864,8.531264,6.583705,10.049839,8.368027,5.186267,10.053158,3.091746,7.062290,11.305278,8.282020,16.426421,5.173360,19.320268,15.648885,19.277046,16.708629,2.899342,10.524968,3.452374,16.313631,11.669777,5.306834,18.523244","2.365291,11.267030,14.385445,1.247555,11.941464,16.267480,1.419742,10.242901,5.209774,13.232421,2.434559,18.671100,17.831415,3.769732,6.493595,11.738678,14.326357,8.862295,3.180820,2.146366,19.915344,9.114186,17.391030,9.650340,18.379576,1.821146,2.342141,18.523903,18.878262,6.323994"
37,283.83957361449006,7.1389501844208585,0.19470093389168855,6.642868646868349,7.549361809728108,9.124847387908986,0.1783523227549528,0.44329535449009444,0.48627676939179715,8.175967579855651,11.82096725297606,4.976949497048669,5.312721955983872,"7.126471,9.056613,8.336648,3.850497,17.903768,5.105623,14.072605,1.412369,0.848826,13.050013,6.806075,13.084314,1.945381,18.925051,14.930527,17.465142,2.787576,6.431994,7.387948,10.737505,5.969871,1.282914,7.398547,5.130258,7.736678,3.987677,5.276024,12.518734,7.780972,6.932407","10.672688,15.393713,7.596740,11.736387,19.249460,10.436085,18.130384,15.826465,1.244979,8.593322,13.934637,19.656364,9.174186,1.920863,11.230262,2.591026,14.990148,10.152312,14.432878,17.328139,12.558329,12.230796,15.050675,16.794307,17.322027,0.802775,11.114815,4.370783,17.149262,12.944210"
